word,count,happiness,kind
sort,39,5.28,review
door,160,5.38,review
enter,21,5.84,review
by,940,4.98,review
bathroom,81,5.6,review
area,451,5.44,review
traffic,28,3.34,review
high,192,6.64,review
can,1255,5.62,review
actually,248,5.3,review
people,647,6.16,review
sat,145,5.24,review
couple,182,7.3,review
around,463,5.62,review
kind,256,7.24,review
funny,44,7.92,review
other,885,5.04,review
than,681,4.74,review
eat,413,7.04,review
grab,76,5.06,review
drink,275,6.36,review
relatively,26,5.6,review
recommended,107,6.46,review
visit,342,6.54,review
let,250,5.38,review
know,500,6.1,review
thoughts,7,6.22,review
coffee,348,7.18,review
shop,217,6.76,review
city,134,5.76,review
indianapolis,9,5.6,review
offers,41,6.48,review
several,206,5.66,review
features,15,5.96,review
set,129,5.58,review
apart,35,3.52,review
from,1497,5.18,review
others,108,5.22,review
right,491,6.54,review
heart,41,7.22,review
fountain,20,6.68,review
square,29,5.48,review
off,566,4.02,review
virginia,5,6.28,review
avenue,13,5.68,review
parking,223,5.02,review
those,198,4.94,review
who,562,5.06,review
prefer,36,6.52,review
sit,150,5.36,review
outdoors,15,6.98,review
outside,251,5.8,review
view,64,5.72,review
inside,216,5.4,review
distinct,4,6.06,review
ceiling,15,5.47,review
design,30,6.32,review
floors,19,5.42,review
exposed,9,4.2,review
brick,14,5.18,review
provide,39,6.4,review
experience,662,6.34,review
having,211,5.78,review
cold,182,4.22,review
brew,24,6.0,review
quality,278,7.1,review
product,47,5.56,review
will,1198,6.02,review
leave,142,4.52,review
disappointed,213,2.26,review
whether,35,4.92,review
sip,17,5.56,review
grind,3,4.22,review
work,399,5.24,review
go,1275,5.54,review
worth,319,6.78,review
checking,54,5.2,review
woman,72,6.84,review
nails,126,4.98,review
kept,96,5.74,review
cutting,18,4.08,review
fingers,30,5.58,review
electric,11,5.66,review
file,14,5.22,review
treat,61,6.74,review
paying,69,5.0,review
customers,182,6.1,review
dirt,16,3.7,review
issue,89,4.48,review
help,170,6.08,review
color,70,7.0,review
noticed,64,5.34,review
car,353,6.72,review
behind,83,4.42,review
counter,94,5.44,review
extra,164,6.52,review
less,167,4.1,review
minutes,512,5.28,review
ago,142,4.88,review
she,1240,6.18,review
told,479,5.08,review
taken,109,4.28,review
again,608,5.42,review
losing,8,2.62,review
any,482,5.22,review
money,208,7.3,review
nail,85,4.7,review
polish,34,6.16,review
bottle,54,5.62,review
essentially,10,5.76,review
whole,207,5.88,review
whenever,33,4.92,review
fixed,42,6.02,review
america,8,6.76,review
vietnam,4,4.42,review
hard,242,4.1,review
working,154,5.56,review
customer,366,5.66,review
treated,64,5.56,review
calling,48,5.74,review
cops,5,5.12,review
because,1019,5.0,review
receive,36,6.5,review
robbed,3,2.18,review
clear,43,6.3,review
unless,58,4.24,review
worst,127,2.1,review
ever,474,5.42,review
when,1447,4.96,review
came,734,5.42,review
hawaii,4,7.02,review
sad,33,2.38,review
knew,123,5.94,review
ice,202,5.8,review
same,270,5.36,review
surprise,48,7.42,review
saw,160,5.44,review
days,189,5.76,review
wait,501,3.74,review
definitely,663,6.2,review
comparable,10,5.34,review
m,824,5.06,review
close,153,4.94,review
home,380,7.14,review
yummy,94,7.22,review
choose,93,5.94,review
add,100,5.9,review
cream,226,6.8,review
ons,2,4.98,review
price,316,5.0,review
huge,211,6.14,review
servings,9,6.06,review
doubt,29,3.16,review
best,829,7.18,review
pizza,455,7.16,review
beat,39,4.2,review
looked,203,5.58,review
didn,780,4.8,review
okay,135,6.56,review
certain,30,6.06,review
don,833,4.98,review
enough,308,5.46,review
years,275,5.28,review
fresh,454,7.26,review
big,277,6.22,review
fan,114,6.66,review
kid,55,6.84,review
loves,29,7.96,review
humble,6,6.48,review
opinion,57,5.82,review
wish,148,6.92,review
north,18,5.52,review
texas,22,5.54,review
mood,32,5.88,review
find,348,6.0,review
anything,232,5.34,review
red,144,5.56,review
changed,70,5.06,review
exactly,92,6.0,review
nice,855,7.38,review
chain,67,5.16,review
little,646,4.6,review
cafe,86,6.78,review
offer,151,6.62,review
soy,14,5.64,review
milk,54,6.22,review
drinks,371,6.74,review
personally,38,5.9,review
cup,64,5.66,review
life,99,7.32,review
windows,30,6.02,review
watch,57,5.7,review
read,98,6.52,review
chill,29,5.06,review
th,73,4.76,review
street,172,5.44,review
places,259,6.14,review
meet,44,6.38,review
lose,17,2.76,review
stopping,21,4.08,review
buffalo,24,5.5,review
designer,6,6.32,review
clothing,14,6.6,review
men,30,5.94,review
women,33,7.12,review
xmas,4,7.24,review
list,113,5.46,review
rather,112,4.98,review
local,207,5.46,review
small,416,4.52,review
mall,52,5.9,review
starbucks,35,6.48,review
makes,155,5.56,review
difference,30,4.78,review
lives,18,6.22,review
business,276,5.94,review
artists,12,6.82,review
sub,33,5.04,review
standard,58,5.0,review
store,319,5.98,review
non,60,4.26,review
purchased,46,6.38,review
say,427,5.54,review
its,233,4.96,review
cheating,1,2.26,review
consists,3,5.58,review
left,330,4.64,review
bones,4,5.18,review
flesh,3,4.67,review
taking,128,5.32,review
pack,16,5.34,review
fat,29,3.24,review
ie,6,4.9,review
white,91,6.28,review
substance,3,5.56,review
rest,95,7.18,review
took,450,4.76,review
hours,202,5.22,review
pressure,29,3.66,review
buy,120,6.28,review
tomorrow,13,6.18,review
cash,64,7.42,review
hand,93,5.9,review
ready,142,6.58,review
see,424,6.06,review
site,32,5.32,review
chat,23,6.42,review
questions,62,5.0,review
think,413,6.2,review
able,210,6.56,review
said,551,5.38,review
lady,106,6.6,review
advised,17,5.34,review
come,612,5.82,review
sold,31,5.36,review
auction,9,5.78,review
found,299,6.54,review
later,198,4.6,review
stop,196,3.9,review
asked,437,5.36,review
given,130,5.74,review
bunch,48,5.7,review
then,670,5.34,review
called,311,5.6,review
accurate,19,6.67,review
information,49,6.48,review
discuss,16,5.96,review
before,502,5.1,review
make,597,6.0,review
planned,12,5.98,review
buying,32,6.4,review
tonight,63,6.14,review
middle,64,5.34,review
asking,56,5.26,review
explanation,13,5.56,review
